StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,Q1.1,Q1.2,Q1.3,Q2.2,Q2.3,Q2.4,Q3.2,Q3.3,Q3.4,Q4.2,Q4.3,Q4.4,Q5.2,Q5.3,Q5.4,Q6.2,Q6.3,Q6.4,Q7.2,Q7.3,Q7.4,Q8.2,Q8.3,Q8.4,Q9.2,Q9.3,Q9.4,Q10.2,Q10.3,Q10.4,Q11.2,Q11.3,Q11.4
2026-03-19 11:47:18,2026-03-19 12:03:16,100,957,TRUE,2026-03-19 12:03:16,qr,EN,8,2,6,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7
2026-03-20 07:15:02,2026-03-20 07:50:54,100,2152,TRUE,2026-03-20 07:50:56,qr,EN,10,2,4,5,3,4,7,3,7,4,3,5,5,3,6,5,4,6,3,2,4,2,3,3,4,2,5,1,3,1,7,2,7
2026-03-20 07:50:58,2026-03-20 08:13:47,100,1368,TRUE,2026-03-20 08:13:47,qr,EN,10,2,5,3,4,3,5,3,6,2,4,2,5,3,5,5,2,6,2,3,3,5,3,5,7,3,7,4,3,4,7,3,7
2026-03-20 08:13:50,2026-03-20 08:38:56,100,1505,TRUE,2026-03-20 08:38:57,qr,EN,10,2,6,2,3,1,6,3,6,2,3,2,6,3,7,3,2,3,4,3,3,4,3,4,1,4,1,2,3,2,5,3,5
2026-03-20 11:27:53,2026-03-20 12:08:00,100,2406,TRUE,2026-03-20 12:08:00,qr,EN,12,2,4,6,2,6,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,6,1,7,5,1,5,7,1,7,7,1,7
2026-03-20 12:08:13,2026-03-20 12:27:05,100,1131,TRUE,2026-03-20 12:27:05,qr,EN,12,2,5,7,1,7,7,1,7,6,1,7,7,1,7,7,1,7,7,1,7,5,1,6,7,1,7,6,1,7,7,1,7
2026-03-20 12:27:14,2026-03-20 12:49:44,100,1350,TRUE,2026-03-20 12:49:44,qr,EN,12,2,6,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7,5,1,4,7,1,7,7,1,7
2026-03-20 13:26:38,2026-03-20 14:06:02,100,2363,TRUE,2026-03-20 14:06:03,qr,EN,11,1,1,6,3,6,6,4,3,6,1,7,4,5,3,4,6,2,7,1,7,6,2,6,7,2,7,7,1,7,7,1,7
2026-03-20 14:06:08,2026-03-20 14:27:50,100,1301,TRUE,2026-03-20 14:27:50,qr,EN,11,1,2,4,6,3,7,2,7,2,7,1,7,1,7,6,4,5,7,2,6,7,2,6,1,7,1,5,3,5,7,1,7
2026-03-20 14:27:56,2026-03-20 14:46:54,100,1138,TRUE,2026-03-20 14:46:55,qr,EN,11,1,3,3,5,4,7,1,7,5,2,5,3,6,3,7,1,7,6,2,6,7,1,7,7,2,6,7,1,7,6,1,6
2026-03-31 06:20:50,2026-03-31 06:50:12,100,1762,TRUE,2026-03-31 06:50:13,qr,EN,13,1,1,2,7,3,7,1,6,6,1,6,7,1,7,1,7,1,3,5,3,1,2,2,5,2,2,1,7,2,7,1,7
2026-03-31 06:50:19,2026-03-31 07:11:19,100,1259,TRUE,2026-03-31 07:11:19,qr,EN,13,1,2,2,5,2,4,2,4,4,1,3,7,1,7,7,1,7,2,1,1,1,6,1,4,2,4,1,5,1,5,1,4
2026-03-31 07:31:12,2026-03-31 07:46:29,100,916,TRUE,2026-03-31 07:46:29,qr,EN,13,1,3,1,1,1,1,1,3,3,1,3,4,1,2,1,1,1,4,2,4,1,1,2,1,2,1,1,2,1,7,1,7
2026-03-31 10:12:59,2026-03-31 10:41:02,100,1682,TRUE,2026-03-31 10:41:03,qr,EN,14,2,4,7,1,7,7,1,7,7,3,4,7,1,7,7,4,6,1,7,2,7,1,7,7,1,7,7,1,4,7,1,7
2026-03-31 10:41:31,2026-03-31 11:06:04,100,1472,TRUE,2026-03-31 11:06:04,qr,EN,14,2,5,1,7,3,7,1,7,7,1,3,7,1,7,7,3,6,7,1,7,7,4,5,1,7,1,7,6,6,7,1,6
2026-03-31 11:06:27,2026-03-31 11:26:23,100,1196,TRUE,2026-03-31 11:26:24,qr,EN,14,2,6,1,5,5,7,1,7,7,2,6,7,5,3,7,2,5,7,1,7,7,1,7,7,1,7,7,1,7,7,1,7
2026-03-31 12:12:23,2026-03-31 12:42:30,100,1806,TRUE,2026-03-31 12:42:30,qr,EN,15,1,1,3,6,2,6,5,5,4,5,5,6,3,7,4,6,4,6,3,6,7,5,6,5,6,5,6,6,5,6,3,6
2026-03-31 13:12:04,2026-03-31 13:27:53,100,948,TRUE,2026-03-31 13:27:54,qr,EN,15,1,2,6,3,6,7,3,7,6,4,6,5,4,5,4,5,5,6,3,7,6,3,6,5,4,6,5,3,5,6,3,6
2026-03-31 13:28:03,2026-03-31 13:45:58,100,1075,TRUE,2026-03-31 13:45:59,qr,EN,15,1,3,6,5,6,6,3,6,6,3,5,7,2,7,7,3,7,4,3,5,5,2,6,6,3,6,7,3,7,4,3,4
2026-04-01 08:20:49,2026-04-01 08:52:10,100,1881,TRUE,2026-04-01 08:52:11,qr,EN,16,2,4,7,2,6,5,2,4,3,4,3,2,4,2,6,6,4,7,3,7,2,4,3,5,2,7,1,5,2,7,1,7
2026-04-01 08:52:20,2026-04-01 09:12:47,100,1227,TRUE,2026-04-01 09:12:48,qr,EN,16,2,5,5,3,3,7,1,7,2,7,3,7,1,7,1,6,3,4,4,4,7,1,7,7,1,7,3,4,3,7,1,7
2026-04-01 09:12:58,2026-04-01 09:33:52,100,1253,TRUE,2026-04-01 09:33:52,qr,EN,16,2,6,1,7,1,7,1,7,5,2,4,7,1,7,7,2,7,7,1,7,1,7,1,1,7,1,4,6,4,7,1,7
2026-04-01 10:08:19,2026-04-01 10:40:03,100,1903,TRUE,2026-04-01 10:40:03,qr,EN,17,1,1,5,3,4,5,2,5,2,5,3,6,3,5,3,4,3,6,2,5,6,1,6,7,1,7,3,2,3,6,1,6
2026-04-01 10:40:13,2026-04-01 11:01:46,100,1292,TRUE,2026-04-01 11:01:46,qr,EN,17,1,2,1,3,1,6,1,6,4,4,5,7,1,7,3,4,3,5,2,6,5,2,5,1,4,1,6,1,6,6,2,6
2026-04-01 11:01:51,2026-04-01 11:20:50,100,1138,TRUE,2026-04-01 11:20:50,qr,EN,17,1,3,6,1,6,6,1,6,4,4,4,6,1,5,6,1,6,6,1,6,5,2,5,5,1,5,5,2,4,6,1,6
2026-04-01 16:06:37,2026-04-01 16:41:35,100,2097,TRUE,2026-04-01 16:41:35,qr,EN,18,2,4,5,2,5,5,2,5,3,2,4,5,2,5,3,3,4,4,2,4,5,2,5,5,2,5,5,2,5,5,2,5
2026-04-01 16:41:42,2026-04-01 17:02:29,100,1247,TRUE,2026-04-01 17:02:30,qr,EN,18,2,5,5,2,5,5,2,5,5,2,5,5,2,5,5,2,5,5,2,5,5,2,5,5,2,5,5,2,5,5,2,5
2026-04-01 17:03:05,2026-04-01 17:26:58,100,1433,TRUE,2026-04-01 17:26:59,qr,EN,18,2,6,5,2,5,5,2,5,5,2,5,5,2,5,5,2,5,5,2,5,5,2,5,4,2,4,4,2,4,4,2,4
2026-04-02 08:29:08,2026-04-02 08:58:39,100,1770,TRUE,2026-04-02 08:58:39,qr,EN,19,1,1,7,3,6,7,2,6,7,2,7,6,3,6,7,3,6,5,5,4,5,2,5,5,2,5,4,4,3,7,2,7
2026-04-02 08:58:45,2026-04-02 09:17:55,100,1149,TRUE,2026-04-02 09:17:56,qr,EN,19,1,2,5,2,6,5,4,5,2,5,3,3,4,4,7,4,7,5,3,6,4,4,4,7,2,7,6,2,7,6,2,7
2026-04-02 09:18:09,2026-04-02 09:38:06,100,1196,TRUE,2026-04-02 09:38:06,qr,EN,19,1,3,1,4,2,2,6,3,1,5,3,6,3,5,2,3,4,4,3,5,4,3,6,1,3,3,2,4,4,5,4,6
2026-04-03 09:30:40,2026-04-03 10:03:42,100,1981,TRUE,2026-04-03 10:03:43,qr,EN,20,2,4,6,2,7,7,1,7,5,1,6,7,1,7,2,1,4,2,6,2,5,2,4,7,1,7,5,4,4,7,1,7
2026-04-03 10:03:57,2026-04-03 10:25:43,100,1305,TRUE,2026-04-03 10:25:44,qr,EN,20,2,5,2,6,2,7,1,7,2,5,3,7,1,7,2,6,2,7,1,7,7,1,7,1,7,1,2,6,2,7,1,7
2026-04-03 10:25:50,2026-04-03 10:43:46,100,1075,TRUE,2026-04-03 10:43:47,qr,EN,20,2,6,7,1,7,7,1,7,7,1,7,4,5,3,6,1,6,6,2,6,7,1,7,7,1,7,2,6,2,7,1,7
2026-04-03 14:10:01,2026-04-03 14:43:18,100,1997,TRUE,2026-04-03 14:43:19,qr,EN,21,1,1,4,3,2,5,2,5,6,3,5,5,3,5,7,2,6,6,2,7,4,2,4,7,2,7,6,2,3,7,2,7
2026-04-03 14:45:38,2026-04-03 15:03:42,100,1084,TRUE,2026-04-03 15:03:43,qr,EN,21,1,2,7,2,7,6,2,5,7,2,7,5,2,6,7,2,6,2,2,2,5,3,5,2,2,2,6,2,7,6,2,6
2026-04-03 15:03:48,2026-04-03 15:24:23,100,1235,TRUE,2026-04-03 15:24:24,qr,EN,21,1,3,6,2,6,4,3,4,7,2,7,5,2,4,7,2,7,6,2,5,6,2,5,7,2,7,2,2,2,2,2,2
2026-04-03 16:46:22,2026-04-03 17:15:47,100,1764,TRUE,2026-04-03 17:15:48,qr,EN,22,2,4,7,2,7,6,3,6,4,3,3,6,3,6,5,3,6,4,3,4,4,3,2,6,3,7,5,3,3,7,2,7
2026-04-03 17:16:00,2026-04-03 17:40:40,100,1479,TRUE,2026-04-03 17:40:40,qr,EN,22,2,5,2,3,7,6,2,6,6,3,7,6,3,6,4,3,5,6,3,5,7,3,7,6,3,7,3,3,3,3,3,3
2026-04-03 17:40:46,2026-04-03 18:05:05,100,1459,TRUE,2026-04-03 18:05:05,qr,EN,22,2,6,4,3,4,7,2,7,4,3,5,7,2,7,7,2,6,5,3,5,2,3,3,1,3,1,5,1,6,6,2,4
2026-04-04 16:11:57,2026-04-04 16:50:48,100,2331,TRUE,2026-04-04 16:50:49,qr,EN,23,1,1,6,1,6,6,1,7,4,2,5,5,2,3,5,2,5,5,2,5,6,1,6,7,2,7,7,1,7,7,1,7
2026-04-04 16:50:56,2026-04-04 17:09:18,100,1102,TRUE,2026-04-04 17:09:19,qr,EN,23,1,2,4,3,4,6,2,6,5,4,5,7,2,3,5,2,4,7,1,7,2,4,2,4,2,4,5,2,5,6,1,7
2026-04-04 17:09:20,2026-04-04 17:29:37,100,1216,TRUE,2026-04-04 17:29:37,qr,EN,23,1,3,7,1,7,7,1,7,5,1,6,4,2,4,5,2,5,7,2,6,5,2,4,6,1,6,3,2,3,7,1,7
2026-04-08 12:41:17,2026-04-08 13:22:13,100,2456,TRUE,2026-04-08 13:22:13,qr,EN,24,2,4,4,5,4,7,2,7,2,5,3,4,2,6,4,2,5,6,2,7,5,2,6,2,5,3,6,1,6,7,1,7
2026-04-08 13:22:17,2026-04-08 13:42:42,100,1224,TRUE,2026-04-08 13:42:42,qr,EN,24,2,5,6,2,6,6,2,7,6,2,6,5,2,5,6,2,6,7,2,7,6,2,4,7,1,7,4,2,4,7,2,7
2026-04-08 13:42:49,2026-04-08 14:04:08,100,1279,TRUE,2026-04-08 14:04:09,qr,EN,24,2,6,5,2,7,7,2,7,6,2,7,6,1,7,6,1,6,6,2,3,6,1,7,7,1,7,2,4,3,7,1,7
2026-04-09 15:15:23,2026-04-09 15:49:00,100,2017,TRUE,2026-04-09 15:49:01,qr,EN,26,2,4,2,1,2,7,1,7,6,2,6,7,1,7,1,5,2,7,1,7,3,2,4,1,2,1,6,2,7,7,1,7
2026-04-09 15:49:07,2026-04-09 16:07:30,100,1102,TRUE,2026-04-09 16:07:30,qr,EN,26,2,5,7,1,7,5,2,5,6,1,7,2,2,6,2,1,6,7,1,7,6,2,6,7,1,7,5,2,6,7,1,7
2026-04-09 16:07:35,2026-04-09 16:29:12,100,1297,TRUE,2026-04-09 16:29:13,qr,EN,26,2,6,7,1,7,7,1,7,6,1,7,7,1,7,2,1,6,5,2,5,6,1,7,7,1,7,6,2,5,7,1,7
